act,scene,char,eng,thai,isLyric,remark
1,1,ซาร่า,A long time ago,กาลครั้งหนึ่งนานมาแล้ว,FALSE,
,,ซาร่า,"there lived a beautiful princess, in a mystical land known as India.",ณ ดินแดนพิศวงนามว่า อินเดีย มีเจ้าหญิงโฉมงามอาศัยอยู่,FALSE,
,,ซาร่า,She was married to the righteous Prince Rama,เธอได้แต่งงานกับพระรามผู้เป็นตัวแทนแห่งธรรมะ,FALSE,
,,ซาร่า,who was banished to the enchanted forest,และถูกเนรเทศไปยังป่าต้องมนต์,FALSE,
,,ซาร่า,"by his envious stepmother, Queen Kaikeyi.",โดยแม่เลี้ยงขี้อิจฉา ไกเกยี,FALSE,
,,ซาร่า,"One day, Princess Sita saw a wounded deer in the woods",วันหนึ่ง เจ้าหญิงสีดาพบกวางที่บาดเจ็บอยู่ในป่า,FALSE,
,,ซาร่า,and begged Rama to help it.,และขอร้องให้พระรามช่วย,FALSE,
,,ซาร่า,Rama drew a circle on the ground and said to her,พระรามได้สร้างวงแหวนเวทบนพื้นและบอกแก่สีดาว่า,FALSE,
,,พระราม,"Do not cross the boundary, my love",ห้ามออกมาจากวงแหวนนี่เด็ดขาดนะ ที่รักของข้า,FALSE,
,,พระราม,Keep to the rule that protects you,มันจะช่วยปกป้องเจ้าจากภัยทั้งปวง,FALSE,
,,ซาร่า,"That night, the princess heard a horrible cry.",ในคืนนั้นสีดาได้ยินเสียงร้องไห้,FALSE,
,,ทศกันฐ์,Help me!,ช่วยข้าด้วย,FALSE,
,,ซาร่า,Thinking it was her beloved Rama in danger,และคิดไปว่าเสียงนั้นคือพระรามผู้เป็นที่รัก,FALSE,
,,ซาร่า,the princess ran out of the circle to answer the cry.,เธอวิ่งออกมาจากวงแหวนเพื่อไปตามเสียงร้อง,FALSE,
,,ซาร่า,She soon came across an old beggar man,ไม่นานนักเธอได้ไปเจอเข้ากับชายชราขอทานผู้หนึ่ง,FALSE,
,,ซาร่า,Although she had no money to give him,แม้ว่าเธอจะไม่มีเงินที่จะให้เขา,FALSE,
,,ซาร่า,she could not refuse his plea.,เธอก็ไม่อาจปฏิเสธคำขอของเขาได้,FALSE,
,,ซาร่า,As soon as he had the bracelet,ทันทีที่เธอยื่นกำไลข้อมือให้,FALSE,
,,ซาร่า,"he transformed into the 10-headed demon, Ravana.",เขาก็แปลงร่างเป็นยักษ์ที่มี 10 เศียร นามว่าทศกันฐ์,FALSE,
,,ซาร่า,He grabs her and takes her to his palace to make her his bride.,ทัศกันฐ์จับเธอไป และทำให้เธอกลายเป็นเจ้าสาวของเขา,FALSE,
,,ซาร่า,"Have you ever known a real prince, Miss Maya?",คุณรู้เรื่องเกี่ยวกับเจ้าชายจริงๆมั้ย มายา ?,FALSE,
,,พี่เลี้ยงซาร่า,"Yes, I have. Laki’s father",ฉันรู้สิ พ่อของลากิไงละ,FALSE,
,,เพื่อนซาร่า,Isn’t he in the army?,ตอนนี้เขาอยู่ที่กองทัพไม่ใช่หรึไง?,FALSE,
,,พี่เลี้ยงซาร่า,"He is. He is my prince. And I, his princess.",ใช่ เขาเป็นเจ้าชาย และฉันก็เป็นเจ้าหญิงของเขา,FALSE,
,,ซาร่า,But I mean real princes and princesses.,แต่ฉันหมายถึงเจ้าชายและเจ้าหญิงจริงๆนะ,FALSE,
,,พระราม,A principle becomes a crown when upheld in conduct.,มงกุฎจะมีค่าก็ต่อเมื่อได้รับความเคารพ,FALSE,
,,ทศกันฐ์,And a crown becomes a toy,แต่มงกุฎนั้นก็จะกลายเป็นเพียงของเล่น,FALSE,
,,ทศกันฐ์,when the world looks.,เมื่อผู้คนมองมา,FALSE,
,,ทศกันฐ์,Shine for them.,จงเปล่งประกายเพื่อพวกเขา,FALSE,
,,สีดา,"Shine for love, not for eyes.",จงเปล่งประกายเพื่อความรัก มิใช่เพื่อภาพลักษณ์,FALSE,
,2,กัปตันครูว์,I will miss it here.,ฉันคงจะคิดถึงที่นี่,FALSE,
,,กัปตันครูว์,India is the only place that stirs the imagination.,อินเดียเป็นที่เดียวบนโลกที่ส่งเสริมจินตนาการ,FALSE,
,,ซาร่า,I wish we could stay here forever.,หนูอยากอยู่ที่นี่ตลอดไป,FALSE,
,,กัปตันครูว์,"I know, sweetheart.",พ่อรู้จ่ะ ลูกรัก,FALSE,
,,กัปตันครูว์,"But now that England's at war, I must go too.",แต่ตอนนี้อังกฤษอยู่ในภาวะสงคราม พ่อต้องไปร่วมรบ,FALSE,
,,กัปตันครูว์,"You understand, don't you?",ลูกเข้าใจพ่อใช่ไหม ?,FALSE,
,,สีดา,Let love be brave.,ให้ความรักแข็งแกร่งเถิด,FALSE,
,,พระราม,War demands patience; accept the safer path.,การรบนั้นต้องใช้ความมานะ จงรับหนทางที่ปลอดภัย,FALSE,
,,ทศกันฐ์,"Or defy the ship, defy the tide—keep what you want!",หรือจงกบฏและเจ้าจะได้ทุกอย่างที่ต้องการ,FALSE,
,,ซาร่า,But why must I go to England?,แล้วทำไมหนูถึงต้องไปด้วยหล่ะคะ ?,FALSE,
,,กัปตันครูว์,"Because it's safer,",เพราะมันปลอดภัยกว่าหน่ะลูก,FALSE,
,,กัปตันครูว์,and you’ll be going to the school your mother ,และลูกจะได้เข้าเรียนในโรงเรียนเดียวกันกับแม่,FALSE,
,,กัปตันครูว์,went to at your age.,ตอนเธออายุเท่าลูก,FALSE,
,,ซาร่า,And where is that?,มันคือที่ไหนหรอคะ ?,FALSE,
,,กัปตันครูว์,"The London Convent,",เดอะ ลอนดอน คอนแวนต์,FALSE,
,,กัปตันครูว์,the most prestigious all girls boarding school in all of Europe.,โรงเรียนหญิงล้วนชนชั้นสูงที่ดีที่สุดในยุโรป,FALSE,
,,กัปตันครูว์,"You’ll learn so much stuff there,",ลูกจะได้เรียนรู้หลายอย่างจากที่นั่น,FALSE,
,,กัปตันครูว์,and make a lot of new friends with girls such as yourself.,และหาเพื่อนได้อีกมากมายด้วย,FALSE,
,,ซาร่า,"Papa, the nanny told me that all girls are princesses.",พ่อคะ พี่เลี้ยงบอกหนูว่าเด็กผู้หญิงทุกคนคือเจ้าหญิง,FALSE,
,,กัปตันครูว์,She is a very wise nanny.,เธอเป็นพี่เลี้ยงที่ปากหวานมาก,FALSE,
,,ซาร่า,So it's true?,ถ้าแบบนั้นมันคือเรื่องจริงใช่ไหมคะพ่อ,FALSE,
,,กัปตันครูว์,"You can be anything you want to be,",ลูกสามารถเป็นได้ทุกอย่างที่อยากเป็น,FALSE,
,,กัปตันครูว์,as long as you believe.,ตราบใดที่ลูกเชื่อมั่นในตัวเอง,FALSE,
,,พระราม,Belief is a compass when joined with action.,ความเชื่อจะนำทางเมื่อกระทำดี,FALSE,
,,สีดา,And a flame when fed by kindness.,และจะเป็นไฟสู้เมื่ออารีย์,FALSE,
,,ทศกันฐ์,And a door to every forbidden room.,และเป็นประตูวิเศษที่เปิดได้ทุกอย่างอีกด้วย,FALSE,
,,ซาร่า,What do you believe?,แล้วพ่อเชื่อในอะไรหรอคะ,FALSE,
,,กัปตันครูว์,"I believe that you are, and always will be,",พ่อเชื่อว่า หนูเป็นและจะเป็น,FALSE,
,,กัปตันครูว์,my little princess.,เจ้าหญิงน้อยของพ่อตลอดไป,FALSE,
,,กัปตันครูว์,I gave this to your mother on our wedding day.,พ่อให้สิ่งนี้กับแม่ในวันแต่งงานของเรา,FALSE,
,,กัปตันครูว์,I want you to have it.,และตอนนี้พ่ออยากมอบมันให้ลูก,FALSE,
,,ซาร่า,She was so beautiful…,แม่ของหนูสวยมาก,FALSE,
,,ซาร่า,What did you love most about her?,พ่อหลงรักอะไรในตัวแม่หรอคะ,FALSE,
,,กัปตันครูว์,That’s a difficult question…,นั่นเป็นคำถามที่ตอบยากมากเลยนะ,FALSE,
,,กัปตันครูว์,I loved the way her eyes lit up when she laughed.,พ่อหลงรักแววตาของแม่ที่ส่องประกายทุกครั้งที่เธอหัวเราะ,FALSE,
,,กัปตันครูว์,Just like yours do.,เหมือนกับแววตาของลูก,FALSE,
,,กัปตันครูว์,I loved the sound of her voice when she sang to me.,พ่อหลงรักน้ำเสียงของแม่ตอนที่เธอร้องเพลง,FALSE,
,,กัปตันครูว์,"But I think, more than anything else.",แต่เหนือสิ่งอื่นใด,FALSE,
,,กัปตันครูว์,I loved how brave and adventurous she was.,ความกล้าหาญของแม่ คือสิ่งที่พ่อหลงรักมากที่สุด,FALSE,
,,สีดา,Keep the dance inside your steps.,จงรักษาไว้ซึ่งความงาม,FALSE,
,,พระราม,Keep the promise.,จงรักษาไว้ซึ่งคำมั่น,FALSE,
,,ทศกันฐ์,"Keep the jewels, too.",และแก้วแหวนเงินทองด้วย,FALSE,
,3,อมิเลีย,Hello! You must be Captain Crewe.,สวัสดีค่ะ คุณคงจะเป็นกัปตันครูว์,FALSE,
,,อมิเลีย,My sister will be down promptly.,พี่สาวของฉันกำลังลงมา,FALSE,
,,อมิเลีย,We were just preparing the young lady's room,พวกเราเพิ่งจะเตรียมห้องให้แก่เลดี้,FALSE,
,,อมิเลีย,as her things had just arrived this morning.,สัมภาระของเธอเพิ่งจะมาถึงเช้านี้ค่ะ,FALSE,
,,กัปตันครูว์,"Thank you, miss...?",ขอบคุณครับคุณ ?,FALSE,
,,อมิเลีย,Amelia. Amelia Minchin.,อมิเลียค่ะ อมิเลีย มินชิน,FALSE,
,,กัปตันครูว์,"Crewe, Captain Crew.",ผมครูว์ครับ กัปตันครูว์,FALSE,
,,อมิเลีย,Pleasure to meet you!,เป็นเกียรติที่ได้พบค่ะ,FALSE,
,,อมิเลีย,And this must be little Sara,และนี่คงเป็นหนูซาร่า,FALSE,
,,อมิเลีย,"My, what a beautiful child",ช่างเป็นเด็กที่งดงามจริงๆ,FALSE,
,,อมิเลีย,I was telling the Captain,ฉันกำลังแนะนำที่นี่ให้กัปตันอยู่ค่ะ,FALSE,
,,มินชิน,"Thank you, that'll be all.",ขอบคุณ เดี๋ยวฉันจัดการต่อเอง,FALSE,
,,มินชิน,Won't you follow me?,จะไม่ตามฉันมาหรอคะ,FALSE,
,,มินชิน,Classes begin sharply at 8 o’clock.,คาบเรียนแรกจะเริ่มตอน 8 โมงตรง,FALSE,
,,มินชิน,We cover all subjects,พวกเรามีวิชาหลากหลายไม่ว่าจะเป็น,FALSE,
,,มินชิน,"literature, maths, science, and of course, French.","วรรณกรรม, เลข, วิทยาศาสตร์ และแน่นอน ฝรั่งเศส",FALSE,
,,กัปตันครูว์,"Oh, Sara speaks fluent--",โอ้ ซาร่าสามารถพูดได้อย่างคล่อง--,FALSE,
,,มินชิน,Lunch service begins at half past one.,มื้อเที่ยงจะเริ่มให้บริการตอนบ่ายโมงครึ่ง,FALSE,
,,มินชิน,"Then, we take our daily walk",หลังจากนั้นพวกเราจะเดินออกกำลังกายประจำวัน,FALSE,
,,มินชิน,unless the weather is extremely violent.,เว้นแต่ว่าอากาศจะไม่ดีในวันนั้น,FALSE,
,,มินชิน,"At 4 o’clock, the girls attend etiquette classes.",ตอน 4 โมงเย็น สาวๆทุกคนจะเข้าอบรมวิชามารยาท,FALSE,
,,มินชิน,Study hall is from half past four to seven,ห้องสมุดจะเปิดให้เริ่มใช้ตอน 4 โมงครึ่งถึงหนึ่งทุ่ม,FALSE,
,,มินชิน,followed by a light supper.,พร้อมกับของว่าง,FALSE,
,,มินชิน,"Before bedtime, we read from one of the classics",ก่อนนอนเราจะอ่านหนังนิทานสือคลาสสิกหนึ่งเล่ม,FALSE,
,,มินชิน,something the children look forward to with anticipation.,เด็กๆทุกคนต่างเฝ้ารอช่วงเวลานี้,FALSE,
,,มินชิน,Sunday is the day of the Lord.,ส่วนวันอาทิตย์จะเป็นวันเข้าโบสถ์,FALSE,
,,มินชิน,Have you any questions?,มีคำถามอะไรมั้ยคะ,FALSE,
,,มินชิน,"Come along, dear.",มาทางนี้เลยจ๊ะที่รัก,FALSE,
,,มินชิน,"Girls, say hello to our new arrival",สาวๆ กล่าวทักทายนักเรียนใหม่กันสิ,FALSE,
,,มินชิน,Miss Sara Crewe.,นี่คุณซาร่า ครูว์,FALSE,
,,นักเรียน,"Hello, Sara.",สวัสดีซาร่า,FALSE,
,,อมิเลีย,You must tell them about your ,เธอน่าจะเล่าประสบการณ์,FALSE,
,,อมิเลีย,exciting life in India.,น่าตื่นเต้นในอินเดียให้เพื่อนๆฟังนะ,FALSE,
,,อมิเลีย,No doubt she'll be our most popular student in no time.,ซาร่าจะกลายเป็นดาวเด่นของโรงเรียนเราอย่างไม่น่าสงสัยเลยค่ะ,FALSE,
,,มินชิน,There are certain rules that should be made clear.,ฉันจะอธิบายกฎที่เธอจะต้องปฏิบัติตามหลังจากนี้ให้ฟังนะ,FALSE,
,,มินชิน,"First is the Rule of Cleanliness,",ข้อแรก ความสะอาด,FALSE,
,,มินชิน,which requires the girls to ,สาว ๆ ทุกคนจะต้องดูและ,FALSE,
,,มินชิน,keep their rooms spotless.,จัดการห้องของตนเองให้ไร้จุดบกพร่อง,FALSE,
,,มินชิน,Second is the Rule of Conduct,ข้อที่สอง การกระทำ,FALSE,
,,มินชิน,which requires the girls to speak and act,เด็กสาวทุกคนควรที่จะพูดจาและแสดงกิริยาต่างๆ,FALSE,
,,มินชิน,respectfully to the teachers at all times.,อย่างสง่างามและให้เกียรติครูทุกคนเสมอ,FALSE,
,,มินชิน,Third is the Rule of Punctuality,ข้อที่สาม การตรงต่อเวลา,FALSE,
,,มินชิน,which demands the girls to attend every class,เด็กสาวทุกคนจะต้องไปให้ตรงเวลา ทุกคาบเรียน,FALSE,
,,มินชิน,activity and meal on time,กิจกรรมและมื้ออาหาร,FALSE,
,,มินชิน,Fourth is the Rule of Residency,ข้อที่สี่ การอยู่อาศัย,FALSE,
,,มินชิน,which requires every student to stay in their room after bedtime.,ทุกคนจะต้องอยู่ในห้องนอนของตนเองเมื่อถึงเวลานอน,FALSE,
,,มินชิน,These rules are strictly enforced.,กฎของเราเป็นระเบียบและเคร่งครัดมาก,FALSE,
,,มินชิน,But I assure you,แต่ฉันขอให้คำมั่นกับเธอเลย,FALSE,
,,มินชิน,the results are well worth the effort.,ว่าผลลัพธ์จะคุ้มค่ากับสิ่งที่เธอทำแน่นอน,FALSE,
,,มินชิน,Our reputation for sending the most poised,พวกเรามีชื่อเสียงอย่างมากในการส่ง,FALSE,
,,มินชิน,and charming young ladies into society is one of the highest.,หญิงสาวที่สง่างามที่สุดออกสู่แวดวงสังคมชั้นสูง,FALSE,
,,กัปตันครูว์,I've no doubt.,ผมไม่แปลกใจเลย,FALSE,
,,มินชิน,"Also, I'm afraid such jewelry",แต่ฉันเกรงว่าเครื่องประดับต่างๆ,FALSE,
,,มินชิน,is not allowed during school hours.,คงจะไม่ได้รับอนุญาตในระหว่างชั่วโมงเรียน,FALSE,
,,ทศกันฐ์,Rules are nothing but a cage to confine oneself,ระเบียบนั้นมีไว้ก็เพื่อกักขังตัวตนเท่านั้น,FALSE,
,,พระราม,Rules can also steady a city of girls.,แต่กฎก็สามารถนำพาระเบียบมาสู่ความวุ่นวายได้,FALSE,
,,สีดา,Let order breathe; let hearts sing within it.,เมื่อระเบียบมีชีวิต หัวใจจึงได้ร้องเพลง,FALSE,
,,ซาร่า,"May I wear it in my room, during my free time?",ขอหนูใส่ที่ห้องของหนู ในเวลาว่างได้มั้ยคะ ?,FALSE,
,,กัปตันครูว์,It’s her mother’s keepsake,มันเป็นของต่างหน้าจากแม่เธอหน่ะครับ,FALSE,
,,มินชิน,If you absolutely insist.,หากคุณยืนกรานเช่นนั้น,FALSE,
,,กัปตันครูว์,I do.,ใช่ครับ,FALSE,
,,ลาวิเนียร์,She'll get in trouble.,เธอมีปัญหาแน่นอน,FALSE,
,4,กัปตันครูว์,This is splendid.,นี่มันสุดยอดจริงๆ,FALSE,
,,มินชิน,"Of course, afterall, this is our finest suite.",ใช่ค่ะ นี่คือห้องที่ดีที่สุดของโรงเรียนเรา,FALSE,
,,กัปตันครูว์,Thank you for all the care you've taken.,ขอบคุณสำหรับการดูแลทุกอย่างนะครับ,FALSE,
,,กัปตันครูว์,I want Sara to feel at home while I'm away.,ผมอยากให้ซาร่ารู้สึกเหมือนอยู่บ้านให้มากที่สุด,FALSE,
,,มินชิน,Of course she will,เธอจะรู้สึกแบบนั้นแน่นอนค่ะ,FALSE,
,,มินชิน,I'll let you say goodbye.,ฉันจะให้พวกคุณได้กล่าวลากันนะคะ,FALSE,
,,มินชิน,You won’t have much time before your ship leaves.,คุณคงจะมีเวลาไม่มากก่อนที่เรือจะออก,FALSE,
,,กัปตันครูว์,We'll write to each other every day.,พ่อจะเขียนจดหมายคุยกับลูกทุกวันนะ,FALSE,
,,กัปตันครูว์,How do you like your room?,ลูกชอบห้องนอนมั้ย,FALSE,
,,กัปตันครูว์,I made sure it was impeccable,พ่อตั้งใจเตรียมห้องให้สมบูรณ์แบบที่สุด,FALSE,
,,กัปตันครูว์,"With all your toys and clothes moved in,",เสื้อผ้าและของเล่นทั้งหมดของลูกอยู่ที่นี่แล้ว,FALSE,
,,กัปตันครูว์,it would feel as if we’ve never left home.,มันคงจะช่วยให้ลูกรู้สึกเหมือนอยู่ที่บ้านนะ,FALSE,
,,ซาร่า,What is that over there?,ตรงนั้นคืออะไรหรอคะ,FALSE,
,,กัปตันครูว์,This is Emily,นี่คือเอมิลี่,FALSE,
,,กัปตันครูว์,she came all the way from India to be with you.,เธอตามมาจากอินเดียเพื่ออยู่กับลูก,FALSE,
,,กัปตันครูว์,Dolls make the very best friends.,ตุ๊กตาตัวนี้จะกลายเป็นเพื่อนที่ดีที่สุดของลูก,FALSE,
,,กัปตันครูว์,Just because they can't speak,แค่เพียงเพราะมันพูดไม่ได้,FALSE,
,,กัปตันครูว์,doesn't mean they don't listen.,ไม่ได้หมายความว่ามันจะไม่ฟังลูกด้วยนะ,FALSE,
,,กัปตันครูว์,Did you know,ลูกรู้อะไรมั้ย,FALSE,
,,กัปตันครูว์,when we leave them alone in our room,เวลาที่พวกเราไม่อยู่ในห้อง,FALSE,
,,กัปตันครูว์,they come to life,เหล่าตุ๊กตาจะมีชีวิตขึ้นมานะ,FALSE,
,,ซาร่า,They do?,จริงหรอคะ,FALSE,
,,กัปตันครูว์,Yes. Before we walk in,ใช่แล้ว และก่อนที่พวกเราจะกลับมา,FALSE,
,,กัปตันครูว์,they quickly return to their places.,พวกมันจะรีบกลับไปเป็นเหมือนเดิม,FALSE,
,,ซาร่า,Why don't they come to life in front of us?,ทำไมพวกมันไม่มีชีวิตต่อหน้าพวกเราละคะ ?,FALSE,
,,กัปตันครูว์,Because it's magic.,เพราะมันคือเวทมนต์ยังไงหล่ะ,FALSE,
,,กัปตันครูว์,Magic must be believed,เวทมนต์ควรที่จะมีความเชื่อ,FALSE,
,,กัปตันครูว์,That's how it’s real,ไม่งั้นพวกมันจะไม่เกิดขึ้น,FALSE,
,,กัปตันครูว์,Whenever you're afraid,เมื่อไหร่ที่ลูกรู้สึกกลัว,FALSE,
,,กัปตันครูว์,or miss me terribly just tell Emily.,หรือคิดถึงพ่อจนทนไม่ไหว แค่บอกเอมิลี่นะ,FALSE,
,,กัปตันครูว์,She'll get the message to me,เธอจะนำความรู้สึกของลูกส่งมาให้พ่อแน่นอน,FALSE,
,,กัปตันครูว์,wherever I am,ไม่ว่าพ่อจะอยู่ที่ไหนก็ตาม,FALSE,
,,กัปตันครูว์,So when you hug her,และเมื่อไหร่ที่ลูกกอดเธอ,FALSE,
,,กัปตันครูว์,I’ll feel it too.,พ่อก็จะได้รับความรู้สึกนั้นเหมือนกัน,FALSE,
,,สีดา,"Yes—imagine, and then be kind.",ใช่แล้วนั้น จินตนาการแล้ว จงกระทำดี,FALSE,
,,พระราม,"Imagine, and then be true.",จินตนาการแล้ว จงจริงใจ,FALSE,
,,ทศกันฐ์,"Imagine, and then take.",จินตนาการแล้ว จงทำชั่ว,FALSE,
,,ซาร่า,"It's all right, Papa.",ทุกอย่างจะไม่เป็นไรค่ะพ่อ,FALSE,
,,ซาร่า,I'm going to be fine,หนูจะอยู่ให้ได้,FALSE,
,,ซาร่า,What are you doing?,พ่อทำอะไรคะ ?,FALSE,
,,ซาร่า,Memorizing me by heart?,ใช้หัวใจของพ่อจดจำหนูอยู่หรอคะ ?,FALSE,
,,กัปตันครูว์,I already know you by heart,ลูกอยู่ในใจของพ่อเสมออยู่แล้ว,FALSE,
,,กัปตันครูว์,Goodbye princess.,ลาก่อนนะเจ้าหญิงน้อยของพ่อ,FALSE,
,5,,,,FALSE,
,,แองจี้,What was that noise last night?,เมื่อคืนพวกเธอได้ยินเสียงอะไรกันมั้ย ?,FALSE,
,,แองจี้,Somebody was crying for hours.,มีบางคนร้องไห้เป็นชั่วโมงเลยนะ,FALSE,
,,ไอร่า,That's nothing. You should hear Lizzie snore.,มาฟังเสียงลิซซี่กรนสิ แล้วเธอจะรู้ว่ามันเทียบไม่ติด,FALSE,
,,ลิซซี่,I do not!,ฉันไม่ได้กรนนะ!,FALSE,
,,เออร์มา,Who was it? The new girl? ,เธอเป็นใครหน่ะ? เด็กใหม่หรอ? ,FALSE,
,,เออร์มา,She hasn't come out of her room.,เธอยังไม่เคยออกมาจากห้องเลยนะ,FALSE,
,,เออร์มา,Did you see all her toys?,เธอมีของเล่นเยอะมาก พวกเธอเห็นไหม?,FALSE,
,,ลาวิเนียร์,I need that hair ribbon of hers.,ฉันอยากได้ยางมัดผมของเธอ,FALSE,
,,แองจี้,I heard her father makes crackers.,ฉันได้ยินมาว่า ครอบครัวของเธอขายแครกเกอร์,FALSE,
,,ไอร่า,They're very rich.,พวกเขารวยมาก,FALSE,
,,แองจี้,They must be. Everyone I know eats crackers.,แน่นอนอยู่แล้ว ทุกคนที่ฉันรู้จักกินแครกเกอร์,FALSE,
,,ไอร่า,Her father's British.,พ่อของเธอเป็นคนบริติช,FALSE,
,,ไอร่า,I heard he's best friends with the king and queen.,ฉันได้ยินมาว่าพ่อของเธอเป็นเพื่อนกับพระราชาและราชินี,FALSE,
,,แองจี้,I heard he was thrown out of India,ฉันได้ยินมาว่าพ่อของเธอถูกขับไล่ออกจากอินเดีย,FALSE,
,,แองจี้,because people died from eating his poisoned crackers.,เพราะผู้คนล้มตายจากแครกเกอร์อาบยาพิษของเขา,FALSE,
,,เพนนี,Poisoned crackers?,แครกเกอร์อาบยาพิษงั้นหรอ,FALSE,
,,เออร์มา,My aunt died from eating poisoned string beans.,คุณป้าของฉันเสียหลังจากกินถั่วฝักยาวอาบยาพิษ,FALSE,
,,แองจี้,Who cares about her?,ใครสนเรื่องเธอกันหล่ะ,FALSE,
,,ไอร่า,"Yeah, who cares?",นั่นสิ ใครสน,FALSE,
,,พระราม,"Test rumors. Believe witnesses, not whispers.",อย่าไปสนใจข่าวลือ จงเชื่อถือผู้รู้จริง,FALSE,
,,ทศกันฐ์,Whispers are sweeter than facts.,แต่ข่าวลือช่างหอมหวาน มิเหมือนความจริงอันขื่นขม,FALSE,
,,แอชฟอร์ด,Sara? ,ซาร่า ?,FALSE,
,,แอชฟอร์ด,We don't delay breakfast for one student.,พวกเราจะไม่เลื่อนเวลาทานอาหารเพราะเด็กคนเดียวหรอกนะ,FALSE,
,,ซาร่า,"I'm sorry, but I–",หนูรู้ค่ะ หนูขอโทษ-,FALSE,
,,แอชฟอร์ด,"Remember, you're not the only child here.",เธอไม่ใช่เด็กนักเรียนคนเดียวของที่นี่ จำไว้,FALSE,
,,ไรท์,"Good morning miss, good morning children.",อรุณสวัสดิ์ค่ะ อรุณสวัสดิ์เด็กๆ,FALSE,
,,ไรท์,This is Monsieur Dufarge. ,นี่คือคุณครูดูฟาจน์ ,FALSE,
,,ไรท์,You begin French lessons today.,เขาจะมาสอนภาษาฝรั่งเศสนับต่อจากนี้,FALSE,
,,เออร์มา,Do I have to?,หนูจำเป็นต้องเรียนด้วยเหรอ,FALSE,
,,มินชิน,You most certainly do. ,แน่นอนอยู่แล้ว ,FALSE,
,,มินชิน,Apologize to Monsieur Dufarge ,ขอโทษคุณดูฟาจน์,FALSE,
,,มินชิน,for your rudeness.,กับการกระทำอันหยาบคายของเธอเดี๋ยวนี้,FALSE,
,,เออร์มา,But I didn't mean to be rude!,แต่หนูไม่ได้ตั้งใจจะทำตัวหยาบคาย,FALSE,
,,มินชิน,Now!,เดี๋ยวนี้!,FALSE,
,,ดูฟาจน์,Its fine Erma,ไม่เป็นไรหรอกครับเออร์มา,FALSE,
,,ดูฟาจน์,Bonjour! ,อรุณสวัสดิ์ ,FALSE,
,,,Je suis votre professeure de français.,ฉันคือครูสอนภาษาฝรั่งเศสของพวกเธอ,FALSE,
,,ดูฟาจน์,Comment tu t’appelles?,เธอชื่ออะไรหรือ,FALSE,
,,ซาร่า,"Je m'appelle Sara Crewe, monsieur. ",หนูชื่อซาร่าครูว์ ,FALSE,
,,ซาร่า,Je viens d'Inde.,มาจากอินเดียค่ะ,FALSE,
,,ดูฟาจน์,This child doesn't need to learn French. She practically is French!,เด็กคนนี้พูดเก่งราวกับเธอเป็นเจ้าของภาษาเลยหล่ะ,FALSE,
,,ดูฟาจน์,She learned from her father. I understood what she said.,ฉันเข้าใจทุกอย่างที่เธอพูด พ่อของเธอคงจะสอนมา,FALSE,
,,ดูฟาจน์,She can tutor the younger children,เธอสามารถรับหน้าที่สอนเด็กเล็ก,FALSE,
,,ดูฟาจน์,"and help you with your pronunciation, Minchin.",และช่วยในการออกเสียงของคุณได้นะ มินชิน,FALSE,
,,ดูฟาจน์,Fantastique…,ยอดเยี่ยม,FALSE,
