act,scene,char,eng,thai,isLyric,remark
,,ซาร่า,"There you go. Oh, I didn’t catch your name.",นี่จ่ะ ว่าแต่เธอชื่ออะไรนะ,FALSE,
,,แอชฟอร์ด,"Miss Sara, do not interact with that lowly servant!",ห้ามพูดคุยกับคนใช้นะ ซาร่า,FALSE,
,,ซาร่า,That doesn’t seem right?,ทำไมกันหล่ะคะ,FALSE,
,,แอชฟอร์ด,I won't say it again.,ฉันจะไม่พูดซ้ำ,FALSE,
,,ซาร่า,Erma right? Are you ok?,เออร์มาใช่ไหมจ๊ะ เธอโอเคมั้ย,FALSE,
,,เออร์มา,"Yes, and you are…",ฉันโอเค แล้วเธอคือ?,FALSE,
,,ซาร่า,"Sara, Sara Crewe, nice to meet you.",ซาร่าจ่ะ ซาร่าครูว์ ยินดีที่ได้รู้จัก,FALSE,
,,เออร์มา,Hi Sara,สวัสดีซาร่า,FALSE,
,,ซาร่า,The next class is Math right? ,คาบต่อไปเรียนคณิตศาสตร์ใช่ไหม? ,FALSE,
,,ซาร่า,I’m new here,ฉันพึ่งมาใหม่,FALSE,
,,เออร์มา,"Yes it is, and there’s a multiplication exam too.",ใช่แล้ว และมีทดสอบการคูณด้วย,FALSE,
,,เออร์มา,I studied all night for it.,ฉันตั้งใจทบทวนทั้งคืนเลย,FALSE,
,,ไรท์,"Good morning class,",อรุณสวัสดิ์เด็ก ๆ,FALSE,
,,นักเรียน,"Good morning, Miss Wright.",อรุณสวัสดิ์ค่ะ คุณครู,FALSE,
,,ไรท์,As you may’ve known,พวกเธอคงทราบกันแล้ว ,FALSE,
,,ไรท์," this is Miss Sara, Sara Crewe,",นี่คือซาร่า ซาร่าครูว์,FALSE,
,,ไรท์,she will be in our class from now on.,นับต่อจากนี้เธอจะมาเข้าเรียนกับพวกเรา,FALSE,
,,นักเรียน,Hi Sara!,สวัสดีซาร่า,FALSE,
,,ลาวิเนียร์,"Look at the new girl, she’s so clueless",ดูเธอสิ ช่างไร้เดียงสาอะไรเช่นนี้,FALSE,
,,ไอร่า,You’re most correct Lav,จริงด้วยหล่ะ,FALSE,
,,แองจี้,I bet she’s nothing but a spoiled brat,พนันได้เลย เธอก็เป็นแค่คุณหนูบ้านรวยคนหนึ่ง,FALSE,
,,ไอร่า,right???,ใช่ไหม,FALSE,
,,ลาวิเนียร์,I’ve heard that her family sells crackers.,ฉันได้ยินมาว่าบ้านของเธอขายแครกเกอร์,FALSE,
,,ลาวิเนียร์,"How is she even attending the same school as us,",เธอมาเข้าเรียนที่นี่ได้อย่างไรกันนะ,FALSE,
,,ลาวิเนียร์,a high class prestigious private school???,ในโรงเรียนชนชั้นสูงแห่งนี้,FALSE,
,,ไอร่า,But I’ve heard that she's got the biggest suite in our convent though.,แต่เธออยู่ในห้องที่หรูหราที่สุดของโรงเรียนคอนแวนต์นี้,FALSE,
,,แองจี้,"Sis, this is not the time.",ไอร่า นี่ไม่ใช่เวลามาพูดเรื่องนี้,FALSE,
,,ไอร่า,"I’m so sorry lav, it’s my fault",ฉันผิดเอง ฉันขอโทษนะลาวิเนียร์,FALSE,
,,ไรท์,"Alright girls, let's get to class now.",เอาหล่ะเด็ก ๆ ไปที่ห้องเรียนกันได้แล้ว,FALSE,
,,ไรท์,Erma you’re up first.,เออร์มา เธอเริ่มเลย,FALSE,
,,เออร์มา,Yes miss Wright.,ได้ค่ะครูไรท์,FALSE,
,,ไรท์,"Slowly miss Erma, take a deep breath and everything will be fine.",หายใจเข้าลึกๆ ไม่ต้องรีบนะคุณเออร์มา,FALSE,
,,เออร์มา,Seven times five is 35. Seven times six is 42.,เจ็ดคูณห้าได้ สามสิบห้า เจ็ดคูณหก ได้สี่สิบสอง,FALSE,
,,เออร์มา,"Seven times seven is 49. Seven times eight is (beat.) 58. No, wait",เจ็ดคูณเจ็ดได้สี่สิบเก้า เจ็ดคูณแปดได้ ห้าสิบแปด ไม่ใช่สิ,FALSE,
,,เออร์มา,"54? 55? Or 72? Or 93? Or 63? I'm sorry, ",54? 55? หรือ 72? หรือ 93? หรือ 63? หนูขอโทษค่ะครู ,FALSE,
,,เออร์มา,Miss Wright. I studied for hours last night.,หนูอาจเตรียมตัวมาไม่พอ,FALSE,
,,ไรท์,"It's absolutely fine, learning takes time and perseverance.",ไม่เป็นไรจ่ะ การเรียนรู้ย่อมใช้เวลา,FALSE,
,,มินชิน,Absolutely not! I find it hard to believe that you even put in an effort at all.,ไม่มีทาง! ฉันเชื่อว่าเธอไม่ได้พยายามเรียนรู้ด้วยซ้ำ,FALSE,
,,มินชิน,I must report this to your father.,ฉันจะแจ้งเรื่องนี้กับพ่อของเธอ,FALSE,
,,เออร์มา,"Please, madame, don't tell him. ",ไม่นะ! ได้โปรดมาดามอย่าบอกคุณพ่อเลย ,FALSE,
,,เออร์มา,"I promise to do better, please.",หนูจะตั้งใจมากกว่านี้,FALSE,
,,ไรท์,"Lavinia, you’re next.",ลาวิเนียร์เธอคนต่อไป,FALSE,
,,ลาวิเนียร์,yes miss,ค่ะคุณครู,FALSE,
,,ซาร่า,"you did great up there,",เธอทำได้ดีมาก,FALSE,
,,เออร์มา,"no I have not, ",ไม่ฉันทำไม่ได้เลย ,FALSE,
,,เออร์มา,and now my dad’s gonna be disappointed in me,และตอนนี้คุณพ่อจะผิดหวังให้ตัวฉัน,FALSE,
,,ซาร่า,"you must look at the bright side,",เธอควรจะมองในทางที่ดี,FALSE,
,,ซาร่า,at least you’ve learned something today.,อย่างน้อย เธอก็ได้เรียนรู้อะไรบางอย่าง,FALSE,
,,เออร์มา,yea?,จริงหรอ,FALSE,
,,ไรท์,"Girls, Class is over.",เอาหล่ะ จบคาบแล้ว,FALSE,
,,ไรท์,"We will continue where we left offnext tomorrow,",เราจะเรียนเนื้อหาต่อไปในวันพรุ่งนี้ ,FALSE,
,,ไรท์, so be prepared.,ขอให้ทุกคนเตรียมตัวมาด้วย,FALSE,
,,,,,TRUE,
,,สีดา,Send the letter; send your heart.,ส่งจดหมาย แห่งดวงใจ,FALSE,
,,พระราม,Keep your promise to study.,มั่นสัญญาตั้งใจเรียน,FALSE,
,6,ดูฟาจน์,"Bonjour la classe, comment allez-vous aujourd’hui?",สวัสดีทุกคน วันนี้เป็นยังไงกันบ้าง,FALSE,
,,นักเรียน,Bonjour professeur,สวัสดีค่ะคุณครู,FALSE,
,,นักเรียน,"je vais bien merci, et vous?",สบายดีค่ะ แล้วครูละหล่ะคะ,FALSE,
,,ดูฟาจน์,"Aujourd’hui, nous allons écrire une rédaction sur l’amour",วันนี้พวกเราจะมาเขียนเรียงความ,FALSE,
,,ดูฟาจน์,maternel pour la fête nationale des mères.,เกี่ยวกับคุณแม่เนื่องในวันแม่กันนะครับ,FALSE,
,,นักเรียน,"Oui, Monsieur",ค่ะ,FALSE,
,,ดูฟาจน์,Lottie? What’s going on?,ลอตตี้ เกิดอะไรขึ้น,FALSE,
,,ลาวิเนียร์,"Oh, qu’est-ce qu’elle a encore?",คราวนี้เธอเป็นอะไรอีกหล่ะ,FALSE,
,,ดูฟาจน์,"Ce n’est pas très gentil de votre part, jeune fille.",กิริยาแบบนี้ไม่เหมาะสมเลยนะสาวน้อย,FALSE,
,,ลาวิเนียร์,Et alors ? Il faut qu’on arrête tout le cours,แล้วพวกเราต้องหยุดการเรียน,FALSE,
,,ลาวิเนียร์,juste pour qu’elle pleure et s’effondre — pour quoi faire ?,เพื่อรอเธอหยุดร้องไห้หรอคะ,FALSE,
,,ลาวิเนียร์,"Je soutiens que vous devriez consacrer davantage votre énergie à m’enseigner,",หนูคิดว่าครูควรที่จะเอาพลังงานมาสอนคนอื่นๆ,FALSE,
,,ลาวิเนียร์,"ainsi qu’aux autres personnes qui peuvent réellement apprendre et prêter attention, comme moi.",ที่ตั้งใจจะมาเรียนแบบพวกหนูมากกว่านะคะ,FALSE,
,,ซาร่า,Pourquoi n’as-tu aucune compassion pour les autres ?,ทำไมเธอไม่เคยสนใจคนอื่นบ้างเลย,FALSE,
,,ซาร่า,Tu n’as donc pas de cœur ?,เธอมีหัวใจหรึเปล่า,FALSE,
,,ลาวิเนียร์,"Pourquoi ça t’intéresse, la nouvelle ?",แล้วเธอจะสนใจทำไมเด็กใหม่,FALSE,
,,ลาวิเนียร์,Tu la connais même ?,เธอไม่รู้จักหล่อนด้วยซ้ำ,FALSE,
,,ซาร่า,"Peu importe si tu voulais agir ainsi,",เธอจะทำตัวยังไงก็เรื่องของเธอแล้วกัน,FALSE,
,,ซาร่า,allons-y en Lottie.,ไปกันเถอะลอตตี้,FALSE,
,,ลอตตี้,I want my mama! I miss my mom!!,หนูอยากอยู่กับแม่ หนูคิดถึงคุณแม่,FALSE,
,,ซาร่า,She might be closer than you think.,ท่านอาจจะอยู่ใกล้กว่าที่เธอคิดก็ได้นะ,FALSE,
,,ลอตตี้,No she’s not! She's dead,ไม่ ท่านเสียไปแล้ว,FALSE,
,,ลอตตี้,and I won't ever see her again!,และหนูก็จะไม่ได้เจอท่านอีก,FALSE,
,,ซาร่า,I don't have a mother either.,ฉันก็ไม่มีแม่เหมือนกันนะ,FALSE,
,,ดูฟาจน์,Mama mia!,โอ้พระเจ้า,FALSE,
,,ลอตตี้,You don't? Where is she?,พี่ด้วยหรอ แล้วแม่พี่อยู่ที่ไหน,FALSE,
,,สีดา,Sing clouds to grieving children.,ปลอบประโลมให้กับเด็กน้อยที่เศร้าหมอง,FALSE,
,,พระราม,"Soothe, then structure: hope and habit.",ปลอบ แล้วจึงพัฒนา สร้างเสริมบุคลิกภาพ,FALSE,
,,ทศกันฐ์,Hope is an illusion that leads to demise,ความหวังนั้นเป็นเพียงแค่ภาพลวงตาที่จะนำพาไปสู่ความอัปยศเท่านั้น,FALSE,
,,ซาร่า,In heaven with my baby sister.,ในสวรรค์หน่ะจ่ะหนูน้อย,FALSE,
,,ซาร่า,That doesn't mean I can't talk to her.,แต่นั่นก็ไม่ได้หมายความว่าฉันจะคุยกับท่านไม่ได้นะ,FALSE,
,,ซาร่า,I tell her everything,ฉันเล่าทุกอย่างให้ท่านฟัง,FALSE,
,,ซาร่า,and I know she hears me.,และฉันเชื่อว่าท่านได้ยิน,FALSE,
,,ซาร่า,Because that's what angels do,เพราะนั่นคือสิ่งที่นางฟ้าทำได้ไงหล่ะ,FALSE,
,,ลอตตี้,Your mama's an angel?,แม่พี่เป็นนางฟ้าหรอคะ,FALSE,
,,ซาร่า,Of course she is. And so is yours.,ใช่จ่ะ และแม่ของเธอก็ด้วยนะ,FALSE,
,,ซาร่า,And they all live together in a castle.,พวกเขาคงจะอยู่ในปราสาทด้วยกัน,FALSE,
,,ซาร่า,"Sometimes, they even send messages to us!",บางครั้งพวกเขาก็ส่งข้อความมาหาพวกเราด้วยนะ,FALSE,
,,ซาร่า,You can't hear them if you're kicking and screaming as you were,แต่เธอจะไม่ได้ยินถ้ายังกรี้ดและดิ้นอยู่แบบนี้,FALSE,
,,ซาร่า,"But they always try again,",แต่พวกเขาจะพยายามส่งมันมาอีกครั้ง,FALSE,
,,ซาร่า,in case we've missed it.,เผื่อว่าพวกเราจะพลาดในตอนแรก,FALSE,
,,ดูฟาจน์,"If you feel lonely, you have us, as your family.",ถ้าเธอเหงาเธอยังมีพวกเราเป็นอีกครอบครัวนะ,FALSE,
,,ไอร่า,"Hey, wait! That's Becky.",เดี๋ยวนะ นั่นเบคกี้หนิ,FALSE,
,,ไอร่า,She's not allowed to talk to us.,เธอไม่ได้รับอณุญาตให้มาคุยกับพวกเรานะ,FALSE,
,,ซาร่า,Why not?,ทำไมหละ,FALSE,
,,เพนนี,She's a servant girl.,เพราะเธอเป็นแค่สาวใช้,FALSE,
,,ซาร่า,"So? Well, that shouldn’t mean anything?",แล้วยังไง มันไม่ได้มีปัญหาอะไรสักหน่อย,FALSE,
,,ดูฟาจน์,"Retournez en classe, les élèves.",เอาหละ กลับเข้าห้องเรียนกันเถอะ,FALSE,
,,ดูฟาจน์,ous avez terminé votre rédaction?,พวกเธอเขียนรายงานกันเสร็จหรึยัง,FALSE,
,,ดูฟาจน์,"Take your time honey, essays can wait.",ใช้เวลากับมันให้เต็มที่นะสาวๆ,FALSE,
,,ซาร่า,Lottie wait for me here a second,ลอตตี้รอฉันแปปนึงนะ,FALSE,
,,เบคกี้,"Is there anything I can do for you, miss?",มีอะไรให้ฉันช่วยมั้ยคะ,FALSE,
,,ซาร่า,"No, there’s nothing.",ไม่จ่ะ ไม่มีอะไร,FALSE,
,,ซาร่า,I just want to talk.,ฉันแค่อยากจะคุยด้วย,FALSE,
,,เบคกี้,I beg your pardon,ขออภัยคะ,FALSE,
,,เบคกี้,but we'll both be in trouble if you stay.,แต่หากคุณอยู่ที่นี่พวกเราคงจะมีปัญหาทั้งคู่,FALSE,
,,ซาร่า,and why is that?,ทำไมเป็นอย่างนั้นหล่ะ,FALSE,
,,เบคกี้,"My apologies, miss Sara",ขออภัยด้วยคุณซาร่า,FALSE,
,,เบคกี้,but am I just a lowly servant,แต่ฉันเป็นเพียงแค่สาวใช้ชั้นต่ำ,FALSE,
,,เบคกี้,we mustn’t be friends.,พวกเราไม่ควรเป็นเพื่อนกันค่ะ,FALSE,
,,ดูฟาจน์,"Les filles, je vais vous accompagner à votre prochain cours,",เอาหละสาวๆ ครูจะส่งพวกเธอไปวิชาต่อไปแล้วนะ,FALSE,
,,ดูฟาจน์,"la littérature anglaise. Mettez-vous en rang et par deux, s’il vous plaît.",มาเข้าแถวแล้วจับคู่กันเลย,FALSE,
,,ซาร่า,See you later Becky.,ไว้เจอกันนะเบคกี้,FALSE,
,,ซาร่า,I hope we can be friends.,หวังว่าพวกเราจะได้เป็นเพื่อนกัน,FALSE,
,7a,ไรท์,"Good Afternoon girls, ",สวัสดีตอนบ่าย ,FALSE,
,,ไรท์,and welcome back to yet another literature class.,กลับมาอีกครั้งกับคาบวรรณกรรม,FALSE,
,,ไรท์,Since Miss Sara will be joining us for this reading exercise,ครั้งนี้คุณซาร่ามาเข้าร่วมการอ่านวรรณกรรม,FALSE,
,,ไรท์," for the first time,",กับพวกเราเป็นครั้งแรก,FALSE,
,,ไรท์, I would like to have one of you girls begin.,ฉันอยากให้ใครสักคนเริ่มอ่านให้หน่อย,FALSE,
,,ไรท์,"Lavinia, please resume from where we left off in the last lesson.
",ลาวิเนียร์ อ่านต่อจากครั้งที่แล้วให้หน่อยนะจ๊ะ,FALSE,
,,ลาวิเนียร์,Sir Edward saw the sorrow in his daughter's eyes,เซอร์เอ็ดเวิร์ดมองเห็นความเศร้าในแววตาลูกสาวของเขา,FALSE,
,,ลาวิเนียร์,but he knew that family honor must prevail. Nobility was not to be trifled with. ,แต่เขารู้ดีว่า เกียรติของตระกูลย่อมต้องมาก่อน ,FALSE,
,,ลาวิเนียร์,"I beg of you, Charlotte,' he said. ",‘พ่อขอร้องนะ ชาร์ล็อตต์’ เขากล่าว ,FALSE,
,,ลาวิเนียร์,"“Marry Sir John in the spring, as he has asked.”",‘แต่งงานกับเซอร์จอห์นในฤดูใบไม้ผลิตามที่เขาขอเถิด’,FALSE,
,,ไรท์,"Thank you, Lavinia. Sara, you may continue.",ขอบคุณค่ะ ลาวิเนียร์ ซาร่าต่อไปตาของเธอ,FALSE,
,,ซาร่า,"“Charlotte said to her father, 'Father, you are right.","ชาร์ล็อตต์ พูดกับพ่อของเธอว่า ""พ่อพูดถูกค่ะ""",FALSE,
,,ซาร่า,I must put away my foolish fantasies and childhood wishes.,"""หนูควรจะทิ้งความฝันวัยเด็กและความหวังโง่ๆของหนูลงเสีย""",FALSE,
,,ซาร่า,"But I simply won't do it. I'm sorry, Father. When I marry, it'll be for love.”","""แต่ ขอโทษค่ะ หนูทำไม่ได้ หนูจะแต่งงานด้วยหัวใจ ไม่ใช่หน้าที่""",FALSE,
,,ซาร่า,"And with that, Charlotte ran from the house.’ ",เมื่อพูดจบ ชาร์ล็อตต์วิ่งออกจากบ้านไปหา ,FALSE,
,,ซาร่า,"Waiting outside was the handsome stable boy, Pierre whom Charlotte secretly adored.",ปีแยร์ เด็กหนุ่มคนเลี้ยงม้าอันหล่อเหลา,FALSE,
,,ซาร่า,"Together, they escaped to the coast and quickly set sail for Tahiti.",พวกเขาหนีไปยังชายฝั่ง และออกเรือมุ่งหน้าไปยังตาฮิติ,FALSE,
,,ซาร่า,"When they were halfway there, their ship was attacked by pirates! ",และในระหว่างทาง พวกเขาโดนโจมตีจากพวกโจรสลัด!,FALSE,
,,ซาร่า,"Rather than being eaten alive, they threw themselves into the sea. ", พวกเขาตัดสินใจกระโดดลงทะเล ,FALSE,
,,ซาร่า,As they began to drown...,ก่อนที่จะจมดิ่งสู่ก้นมหาสมุทร,FALSE,
,,ซาร่า,"they held each other close,",พวกเขากอดกันแน่น ,FALSE,
,,ซาร่า, and swore undying love.,และสาบานว่าจะรักกันชั่วนิรันดร์,FALSE,
,,ซาร่า," Then, when all seemed lost,",และในทันใดนั้นเอง ,FALSE,
,,ซาร่า, a group of mermaids appeared--,กลุ่มนางเงือกได้ปรากฏตัวขึ้น,FALSE,
,,มินชิน,That is not how the story goes! What are you doing!?,เธอทำอะไรอยู่หน่ะ นั่นไม่ใช่เนื้อเรื่องที่ควรจะเป็น ,FALSE,
,,ทศกันฐ์,Tear up the book—write your own.,จงฉีกหนังสือทิ้งแล้วเขียนมันใหม่เองไปเลย,FALSE,
,,พระราม,Keep your respect. Keep your spark.,จงรักษาไว้ซึ่งความงามเถิด,FALSE,
,,ซาร่า,"I couldn't bear to see her marry him, ",หนูไม่สามารถทนเห็นเธอแต่งงานกับเขาได้ ,FALSE,
,,ซาร่า,so I imagined another ending.,หนูเลยจินตนาการตอนจบแบบใหม่ค่ะ,FALSE,
,,มินชิน,Imagined?,จินตนาการงั้นหรือ?,FALSE,
,,ซาร่า,"Don't you ever imagine things, miss, just to make things seem real?
",คุณครูไม่เคยมีจินตนาการหรอคะ,FALSE,
,,มินชิน,Silence! There will be no more make-believe at this school...,เงียบ! จะต้องไม่มีการสร้างเรื่องราวในโรงเรียนนี้,FALSE,
,,มินชิน, during reading or any other time. Is that understood?,รวมถึงเวลาการอ่านและเวลาอื่นด้วย เข้าใจไหม,FALSE,
,,นักเรียน,"Yes, Madame.",ค่ะคุณครู,FALSE,
,,มินชิน,"All of you, go to bed.",ไปเข้านอนได้แล้ว ทุกคน,FALSE,
,,เออร์มา,I never heard a story like that in my life.,ฉันไม่เคยได้ยินเรื่องแบบนี้มาก่อนเลย,FALSE,
,,เออร์มา," I bet you know lots of them, don't you, Sara?",ฉันมั่นใจว่าเธอรู้นิทานพวกนี้เยอะ ใช่ไหมซาร่า,FALSE,
,,แอชฟอร์ด,I want silence up there!,ข้างบนนั้น เงียบเดี๋ยวนี้!,FALSE,
,,เออร์มา,"We have to do something about this rule. After the lights are out,",หลังจากปิดไฟ พวกเราจะต้องทำอะไรสักอย่างกับกฎเหล่านี้,FALSE,
,,เออร์มา,"we'll sneak into your room, ",พวกเราจะแอบเข้าไปในห้องของเธอ ,FALSE,
,,เออร์มา,and you can show us a real story.,และเธอจะได้เล่านิทานให้พวกเราฟัง,FALSE,
,,ซาร่า,"Only if it's just you three. Come on, come on.",ได้สิ ถ้ามีพวกเราแค่สามคน,FALSE,
,,พระราม,Hold your ground with respect.,หากจะสู้จงสู้ด้วยความเคารพเถิด,FALSE,
,,ทศกันฐ์,Or set the book ablaze and dance.,หรือช่างทุกอย่างและทำตามต้องการ,FALSE,
,,สีดา,"Let story rescue courage, not avoid it.",ให้เรื่องราวช่วยสร้างเสริมความกล้า มิใช่หลีกหนี,FALSE,
,,ดูฟาจน์,"Un peu d'imagination aide à apprendre une langue, Madame.",การจินตนาการจะช่วยส่งเสริมการเรียนภาษานะคุณครู,FALSE,
,,มินชิน,"What are you saying I do not understand,",คุณพูดอะไรหน่ะ ฉันไม่เข้าใจ,FALSE,
,,มินชิน,we are in Great Britain ,คุณอยู่ในบริเตนใหญ่ ,FALSE,
,,มินชิน,thus you shall speak the language of the queen!!!,คุณควรจะพูดภาษาของคนที่นี่,FALSE,
,,ดูฟาจน์,"I was saying that a little imagination helps when learning a language, Madam.",ผมหมายความว่า จินตนาการอันเล็กน้อยจะส่งเสริมการเรียนรู้,FALSE,
,,มินชิน,The little imagination you’re talking about will bring us doom.,จินตนาการนั้นจะนำพาเราไปสู่ความวุ่นวาย,FALSE,
,,มินชิน,"You don’t know what they’re capable of.
",มันสามารถเลยเถิดไปได้ไกลกว่าที่คุณคิด,FALSE,
,,ดูฟาจน์,"We guide, we don’t cut. That’s why we’re teachers",พวกเรามีหน้าที่ส่งเสริม นั่นคืองานของเราในฐานะครู,FALSE,
,,มินชิน,"We’re teachers, that’s why we stop it beforehand.
",พวกเราในฐานะครู ควรตักเตือนก่อนที่จะสายเกินไป,FALSE,
,7b,ซาร่า,"Oh my, Becky! You came,",โอ้เบคกี้ มานี่สิจ๊ะ,FALSE,
,,เบคกี้,Yes I did miss Sara.,ได้ค่ะคุณซาร่า,FALSE,
,,ซาร่า,There’s no need to call me Miss.,เธอไม่ต้องเรียกฉันว่าคุณก็ได้นะ,FALSE,
,,เบคกี้,"Yes Miss Sara, oh, uh, Sara",ค่ะคุณซาร่า เอ้ะ ไม่สิ ซาร่า,FALSE,
,,เออร์มา,Is that Becky,นั่นเบคกี้หรอ,FALSE,
,,เออร์มา,will we get in trouble ,พวกเราจะมีปัญหามั้ย,FALSE,
,,เออร์มา,is Madame Minchin knows she’s here,ถ้าคุณมินชินรู้เข้าว่าเธออยู่ที่นี่,FALSE,
,,ซาร่า,It's fine Erma,ไม่เป็นไรหรอกเออร์มา,FALSE,
,,ซาร่า,when the rules are unjust,เมื่อกฎต่างๆมันไม่ยุติธรรม,FALSE,
,,ซาร่า,you go around them.,ก็จงบิดเบือนมันเถอะ,FALSE,
,,เออร์มา,"hmm, Hi, Becky,",อืม สวัสดีเบคกี้,FALSE,
,,เออร์มา,you can just call me Erma,เธอเรียกฉันว่าเออร์มาก็ได้นะ,FALSE,
,,เพนนี,I’m Penny,ฉันเพนนีจ๊ะ,FALSE,
,,ลิซซี่,and I’m Lizzie,ฉัันลิซซี่,FALSE,
,,เบคกี้,"Good evening, Erma, Penny, Lizze.",สวัสดีตอนบ่ายนะ เออร์มา เพนนี่ ลิซซี่,FALSE,
,,เออร์มา,So what’s next??,แล้วเรื่องเป็นยังไงต่อ,FALSE,
,,เออร์มา,I’m dying to know.,ฉันอยากรู้จะแย่แล้ว,FALSE,
,,ลิซซี่,"Yess, please continue,",ใช่เล่าต่อเถอะ,FALSE,
,,ลิซซี่,I’m gonna explode!!!!,ฉันจะระเบิดแล้ว,FALSE,
,,ซาร่า,"Ok, ok, don’t die.",โอเคโอเค ใจเย็น ๆ กันนะ,FALSE,
,,ซาร่า,The evil Ravana locked the princess up in his tower.,ทศกันฐ์จอมวายร้ายขังเจ้าหญิงไว้ในหอคอย,FALSE,
,,ซาร่า,There she stayed for many weeks...,เธอถูกขังอยู่ที่นั้นหลายสัปดาห์,FALSE,
,,ซาร่า,just staring out her window ,ทำได้แค่มองออกไปนอกหน้าต่าง,FALSE,
,,ซาร่า,missing her Prince Rama terribly.,และคิดถึงพระรามผู้เป็นที่รัก,FALSE,
,,เออร์มา,"That’s so scary, ",น่ากลัวมากเลย,FALSE,
,,เออร์มา,can I borrow Emily for a bit?,ฉันขอยืมเอมิลี่หน่อยได้มั้ย,FALSE,
,,ซาร่า,"Yea sure,",ได้สิ,FALSE,
,,เออร์มา,My father hates dolls.,พ่อของฉันไม่ชอบตุ๊กตา,FALSE,
,,เออร์มา,And he hates coming here.,และเขาก็ไม่ชอบมาที่นี่,FALSE,
,,เออร์มา,Says he doesn't belong.,เขาบอกว่าตนเองไม่คู่ควรกับที่นี่,FALSE,
,,ซาร่า,Then why does he send you here?,แล้วทำไมเขาส่งเธอมาเรียนที่นี่หล่ะ,FALSE,
,,เออร์มา,Because he wants me to belong.,เพราะเขาอยากให้ฉันคู่ควร,FALSE,
,,ซาร่า,That’s very thoughtful of your father,พ่อของเธอคิดมาดีมากเลยนะ,FALSE,
,,เพนนี,So what happened next?,แล้วเรื่องเกิดอะไรขึ้นต่อ,FALSE,
,,ซาร่า, Rama approached the thorny palace...,พระรามไปยังปราสาทที่เต็มไปด้วยหนามของทศกันฐ์,FALSE,
,,ซาร่า,unaware that Ravana was waiting for him.,โดยไม่ทันได้ระวัง ทศกันฐ์กำลังรอเขาอยู่,FALSE,
,,ซาร่า,But Rama was not through yet.,แต่พระรามก็ไม่ถอย,FALSE,
,,ซาร่า,He took a bow that held not one but 10 arrows,เขานำธนูออกมา ไม่เพียงหนึ่ง แต่มีศรถึง 10 เล่ม,FALSE,
,,ซาร่า,each filled with poison.,และทุกๆ เล่มอาบไปด้วยยาพิษ,FALSE,
,,ซาร่า,"Standing before the gates,",พระรามยืนอยู่ที่หน้าประตู,FALSE,
,,ซาร่า,feels his heart pound —,หัวใจของเขาเต้นอย่างรุนแรง,FALSE,
,,ซาร่า,yet he breathes.,จากนั้นเขาก็สูดหายใจ,FALSE,
,,พระราม,Breathe. Choose. Advance.,หายใจเข้า หายใจออก ตั้งสติ,FALSE,
,,ซาร่า,"Far away, the princess whispers to herself—",ในอีกฝั่งหนึ่งเจ้าหญิง พึมพำกับตนเอง,FALSE,
,,สีดา,Hope is an inner wind.,ให้ความหวังนำพาเถิด,FALSE,
,,ซาร่า,The arrows sped through the air...,ลูกศรถูกยิงผ่านอากาศไปด้วยความเร็ว,FALSE,
,,ซาร่า,heading straight for Rama.,พุ่งตรงมายังพระราม,FALSE,
,,ซาร่า,The arrows hit the ground..,ลูกศรได้ปักลงไปยังพื้น,FALSE,
,,ซาร่า,"However, Ravana’s laughter filled the air…",อย่างไรก็ตาม เสียงหัวเราะของกันฐ์ ดังไปทั่วทุกที่,FALSE,
,,ทศกันฐ์,Panic is my perfume.,ความประหม่าเป็นสิ่งที่หอมหวนจวนใจ,FALSE,
