act,scene,char,eng,thai,isLyric,remark
,,เออร์มา,"Your birthday’s coming up, right?",วันเกิดของเธอกำลังจะมาถึงแล้วใช่มั้ย,FALSE,
,,ซาร่า,That’s right.,ใช่แล้ว,FALSE,
,,เออร์มา,"I’m so happy for you,",ฉันดีใจแทนเธอจัง,FALSE,
,,เออร์มา, you’re gonna have your own party!,เธอจะมีงานเลี้ยงเป็นของตัวเองด้วย,FALSE,
,,เออร์มา,You’re gonna be just like a princess!,แล้วก็จะเป็นเหมือนเจ้าหญิง,FALSE,
,,ซาร่า,I’ve always dreamt of being a princess!,ฉันฝันว่าจะได้เป็นเจ้าหญิงมาตลอดเลย,FALSE,
,8,ลาวิเนียร์,I want a big piece!,ฉันขอชิ้นใหญ่ที่สุด,FALSE,
,,แอชฟอร์ด,"Hush up, Lavinia.",หยุดเลยลาวิเนียร์,FALSE,
,,แอชฟอร์ด,'Princess'' Sara will give everyone a fair share.,เจ้าหญิงซาร่า จะให้ทุก ๆ คนเท่า ๆ กัน,FALSE,
,,แอชฟอร์ด,"Right, Princess?",ใช่มั้ยเจ้าหญิง,FALSE,
,,ซาร่า,I told her that's what you were.,ฉันบอกเธอแล้วว่า,FALSE,
,,ซาร่า,"Well, not just me.",ไม่ใช่แค่ฉันเท่านั้น,FALSE,
,,ซาร่า,All girls are princesses. ,แต่เด็กสาวทุกคนล้วนเป็นเจ้าหญิงกันทั้งนั้น,FALSE,
,,ซาร่า,"Even you, Lavinia—",แม้แต่เธอลาวิเนียร์ ,FALSE,
,,ซาร่า,Though you might not believe it.,แต่เธออาจจะไม่เชื่อนะ,FALSE,
,,ซาร่า,"Here, Lavinia, you get a big piece.",นี่จ่ะ ลาวิเนียร์เค้กชิ้นใหญ่ของเธอ,FALSE,
,,อมิเลีย,"Yes, may I help you?",สวัสดีค่ะ มีอะไรให้ฉันช่วยมั้ย,FALSE,
,,ทนาย,"I'm Barrow, ",สวัสดีค่ะ ฉันชื่อแบโรว์ ,FALSE,
,,ทนาย,Captain Crewe's attorney.,เป็นทนายความของคุณครูว์,FALSE,
,,อมิเลีย,"Oh, yes, please, do come in.",โอ้ เชิญเข้ามาข้างในก่อนค่ะ,FALSE,
,,อมิเลีย,We're celebrating Sara's birthday.,พวกเรากำลังฉลองงานวันเกิดของซาร่าอยู่เลยค่ะ,FALSE,
,,ทนาย,May I speak to you in private?,พวกเราไปคุยกันในที่ส่วนตัวได้มั้ยคะ,FALSE,
,,อมิเลีย,"Yes, of course! Right this way.",แน่นอนค่ะ มาทางนี้เลย,FALSE,
,,อมิเลีย,May I just say that Sara is quite the favorite around here.,ฉันขอพูดเลยค่ะว่า ที่ตรงนี้เป็นที่โปรดของซาร่าเลย,FALSE,
,,อมิเลีย,We went to great lengths ,เราพยายามอย่างเต็มที่,FALSE,
,,อมิเลีย,to make this a special day for her.,เพื่อให้วันนี้พิเศษสำหรับเธอที่สุด,FALSE,
,,อมิเลีย,I'm afraid Captain Crewe’s check to us,และหวังว่าเช็คที่กัปตันครูว์ที่จะจ่ายให้เรา,FALSE,
,,อมิเลีย,this month will be rather large.,ในเดือนนี้จะมากพอนะคะ,FALSE,
,,ทนาย,"Unfortunately, there will be no check, Miss Amelia.",น่าเสียดาย แต่เดือนนี้จะไม่มีเชคค่ะคุณอมิเลีย,FALSE,
,,ทศกันฐ์,Watch her kingdom shake.,ชีวิตของเธอที่กำลังพังทลายช่างงดงาม,FALSE,
,,พระราม,Steady now—grief needs a rail.,ช้าก่อน ตั้งสติ การอาลัยต้องใช้เวลา,FALSE,
,,มินชิน,Excuse me? The party is over!,ขอโทษนะ แต่ปาร์ตี้นี้จบลงแล้ว,FALSE,
,,มินชิน,"Everyone go to their rooms,",ทุกคนกลับไปที่ห้องของตัวเอง,FALSE,
,,มินชิน,this instant!,เดี๋ยวนี้,FALSE,
,,ดูฟาจน์,"En rang, mesdemoiselles—slowly, please. Let’s go.",เข้าแถวด้วยทุกคน ช้าๆนะ ไปกันเถอะ,FALSE,
,,ซาร่า,"Madame, may I ask what’s happening?",มาดามคะ หนูขอถามได้มั้ยว่าเกิดอะไรขึ้น,FALSE,
,,มินชิน,"Sara, you will stay behind. ",ซาร่าอยู่ฟังฉันก่อนนะ,FALSE,
,,มินชิน, I have something to tell you.,ฉันมีอะไรจะบอกเธอ,FALSE,
,,มินชิน,"Move! Amelia, ",ไปอมิเลีย,FALSE,
,,มินชิน,go to Sara's room and find a simple black dress.,ไปที่ห้องของซาร่าและหาชุดเดรสสีดำมา,FALSE,
,,มินชิน,"If nothing is suitable, borrow one.",หากไม่มีที่ใช้ได้ ไปยืมมาสักตัว,FALSE,
,,อมิเลีย,"But, sister--",แต่พี่ค-,FALSE,
,,มินชิน,Do as I say.,ทำตามที่ฉันสั่ง,FALSE,
,,ซาร่า,"Why would I need a black dress, Minchin?",ทำไมหนูต้องใส่ชุดดำคะคุณมินชิน,FALSE,
,,มินชิน,"I'm afraid I have some bad news, Sara.",ฉันเกรงว่าจะมีข่าวร้ายนะซาร่า,FALSE,
,,มินชิน,Your father– It's been discovered that he has passed.,เราพึ่งได้ข่าวว่าพ่อของเธอจากไปแล้ว,FALSE,
,,มินชิน,He was killed in battle several weeks ago.,เขาถูกสังหารในสงครามหลายสัปดาห์ที่ผ่านมา,FALSE,
,,มินชิน,,,TRUE,
,,ซาร่า,"Papa. Papa, please.",คุณพ่อ ไม่นะ,FALSE,
,,เบคกี้,"Sara, what happened?",ซาร่า เกิดอะไรขึ้น,FALSE,
,,มินชิน, You're to serve the girls without conversation,เธอจะรับใช้เหล่านักเรียนโดยไม่มีบทสนทนาใด ๆ ,FALSE,
,,มินชิน,understand? ,เข้าใจใช่มั้ย,FALSE,
,,มินชิน,Sara will be working here as a servant from now on.,จากนี้ไปซาร่าจะทำงานเป็นสาวใช้ของที่นี่,FALSE,
,,มินชิน,There will be no communication.,จะไม่มีการพูดคุยใดๆกับเธอเกิดขึ้น,FALSE,
,,มินชิน,Is that clear?,เข้าใจมั้ยสาวๆ,FALSE,
,,มาเรีย&โอลิเวีย,"Yes, Madame.",ค่ะ มาดาม,FALSE,
,,แคริสฟอร์ด,Ramdass… look! It’s him!,รามดาส ดูนั่น นั่นเขา,FALSE,
,,แคริสฟอร์ด,"My mate, Captain Crewe! ",เพื่อนของฉัน กัปตันครูว์,FALSE,
,,แคริสฟอร์ด,He’s alive. ,เขายังมีชีวิต,FALSE,
,,แคริสฟอร์ด,Come look! ,มาดูเร็วเข้า,FALSE,
2,9,เบคกี้,I thought you'd be sleeping. ,ฉันนึกว่าเธอจะหลับอยู่,FALSE,
,,เบคกี้,I never got a chance to give you your birthday present. ,ฉันยังไม่มีโอกาสได้ให้ของขวัญกับเธอเลย,FALSE,
,,เบคกี้,"It's a picture of where you used to live, India.",นี่คือรูปถ่ายจากอินเดีย ที่ที่เธอเคยอยู่,FALSE,
,,เบคกี้, See the blue threads?,เห็นเส้นด้ายสีฟ้านั่นไหม,FALSE,
,,เบคกี้," That's the river. And these,",นั่นคือแม่น้ำ และพวกนี้คือ,FALSE,
,,เบคกี้, these are the mountains you always talk about.,ภูเขา ที่เธอชอบพูดถึงบ่อยๆ,FALSE,
,,ซาร่า,"Thank you, Becky. It's beautiful.",มันสวยมากเลยเบคกี้ ขอบใจนะ,FALSE,
,,โอลิเวีย,"Wow, It looks just like how Sara described it!",ว้าว! มันเหมือนกับสิ่งที่ซาร่าเคยพูดเลย,FALSE,
,,มาเรีย,Can you tell us a story about it?,เธอเล่าเรื่องให้พวกเราฟังได้ไหม,FALSE,
,,โอลิเวีย,"Please, just a short one to make us forget the cold",ได้โปรด เรื่องสั้นๆก็ยังดี,FALSE,
,,ซาร่า,"It’s late, we should all get some rest.",มันดึกแล้ว พวกเราควรเข้านอนได้แล้วนะ,FALSE,
,,โอลิเวีย,Then maybe tomorrow? ,งั้น พรุ่งนี้?,FALSE,
,,โอลิเวีย,We’ll be waiting.,พวกเราจะรอนะ,FALSE,
,,ซาร่า,"No, Olivia. Not anymore",คงไม่ได้แล้วหล่ะ โอลิเวีย,FALSE,
,,เบคกี้,Why don't you tell stories anymore?,ทำไมเธอไม่เล่านิทานแล้วหล่ะ,FALSE,
,,ซาร่า,They're just make-believe. ,มันเป็นแค่เรื่องงมงาย,FALSE,
,,ซาร่า,They don't mean anything.,ไม่มีความหมายอะไรหรอก,FALSE,
,,เบคกี้,They've always meant something to me.,มันมีความหมายกับฉันเสมอ,FALSE,
,,เบคกี้,"Some days I thought I'd die, ",บางวัน ฉันก็รู้สึกหมดไฟมากๆ,FALSE,
,,เบคกี้,until I heard you talk about magic.,จนกระทั่งฉันได้ยินเธอพูดถึงเวทมนตร์,FALSE,
,,ซาร่า,"There is no magic, Becky.",ไม่มีเวทมนตร์อะไรหรอกน่ะเบคกี้,FALSE,
,,ทศกันฐ์,Say it louder. Let the heart of hope die.,จงพูดมันให้ดักขึ้นอีก จงบดขยี้ความดวงใจของเธอ,FALSE,
,,สีดา,A candle looks small only in a storm.,แสงเทียนดูริบหรี่ก็ต่อเมื่ออยู่ทางกลางพายุเท่านั้น,FALSE,
,,พระราม,Pain is real. So are choices.,ผลของการกระทำนั้นมีจริง เฉกเช่นทางเลือก,FALSE,
,,ซาร่า,Papa can you hear me? ,พ่อคะ พ่อได้ยินหนูไหม,FALSE,
,,ซาร่า,I'm so scared.,หนูกลัว,FALSE,
,,เบคกี้,Are you still a princess?,เธอยังเป็นเจ้าหญิงอยู่ไหม,FALSE,
,,แอชฟอร์ด,You better get back in line.,เธอต้องกลับเข้าแถวเดี๋ยวนี้,FALSE,
,,แอชฟอร์ด,or you'll both be in trouble,ก่อนที่พวกเธอจะมีปัญหา,FALSE,
,,เบคกี้,Are you?,ใช่หรือไม่?,FALSE,
,,แอชฟอร์ด,"Girls, get in line.",เด็กๆ กลับไปเข้าแถว,FALSE,
,,มินชิน,"Hello peasants, your first task of the day",สวัสดีจ่ะพวกสาวใช้ นี่คืองานแรกในวันนี้,FALSE,
,,ซาร่า,But–,แต่,FALSE,
,,มินชิน,"No buts! Get to scrubbing, NOW!",ไม่มีแต่! เริ่มทำความสะอาดได้แล้ว!,FALSE,
,,แองจี้,That stupid girl finally got what she deserved!,ยัยเด็กโง่นั่นได้เจอกับสิ่งที่เธอสมควรแล้ว,FALSE,
,,ไอร่า,Serves her right!,ทำหน้าที่ของเธอไปซะ!,FALSE,
,,ลาวิเนียร์,Leave it alone.,ปล่อยมันไว้เถอะ,FALSE,
,,แองจี้,But the show’s just getting started!,แต่นี่มันพึ่งเริ่ม!,FALSE,
,,ไอร่า,Can’t we watch for a little longer?,เราอยู่ดูอีกนิดนึงไม่ได้หรอ,FALSE,
,,ลาวิเนียร์,We have better things to do.,เรามีเรื่องที่ดีกว่านี้ให้ทำ,FALSE,
,,แคริสฟอร์ด,I would like to purchase one poppy anemone please.,ผมขอซื้อดอกแอนนีโมนีหนึ่งดอกครับ,FALSE,
,,คนขายดอกไม้,"Oh, what a great choice!",นั่นเป็นตัวเลือกที่ดีมาก,FALSE,
,,คนขายดอกไม้,"It represents loyalty, sincerity, ",มันเป็นตัวแทนแห่งความจริงใจและภักดี,FALSE,
,,คนขายดอกไม้,and the fragility of life.,และความเปราะบางของชีวิต,FALSE,
,,แคริสฟอร์ด,"My, you sure know your flowers,",คุณคงรู้จักดอกไม้อย่างดีมาก,FALSE,
,,แคริสฟอร์ด,makes sense why you’d be the owner of this fine establishment.,ไม่แปลกใจที่คุณเป็นเจ้าของร้านดอกไม้นี้,FALSE,
,,คนขายดอกไม้,"Mhm! In fact, that lady over there",อืมม ความจริงแล้วคุณผู้หญิงตรงนั้น,FALSE,
,,คนขายดอกไม้, just requested the same one!,ก็พึ่งจะสั่งดอกไม้แบบเดียวกัน,FALSE,
,,แคริสฟอร์ด,Is that so?,จริงหรอครับ?,FALSE,
,,คนขายดอกไม้,Yep! I think you two would make quite a cute couple!,ใช่ค่ะ! พวกคุณต้องเป็นคู่ที่น่ารักมากแน่ๆ,FALSE,
,,คนขายดอกไม้,"Oh right, I shouldn’t ship my customers together. ",อ้อ จริงสิ ฉันไม่ควรจับคู่ลูกค้าคู่กันแบบนี้สินะ,FALSE,
,,คนขายดอกไม้,"Anyways, that’ll be 3 pounds.",เอาเถอะใทั้งหมดนี่สามปอนด์ค่ะ,FALSE,
,,คนขายดอกไม้,Have a lovely day!,ขอให้เป็นวันที่ดีนะคะ,FALSE,
,,แคริสฟอร์ด,"Excuse me miss,",ขอโทษนะครับคุณ,FALSE,
,,แคริสฟอร์ด,I couldn’t help but notice your exquisite taste in flora.,ผมอดไม่ได้ที่จะสังเกตว่าคุณมีรสนิยมเรื่องดอกไม้ที่งดงามจริงๆ,FALSE,
,,อมิเลีย,Oh hello.,โอ้ สวัสดีค่ะ,FALSE,
,,อมิเลีย,I’m sorry but I must get going,ฉันขอโทษนะคะ แต่ฉันต้องไปแล้ว,FALSE,
,,อมิเลีย,or my sister will be quite unhappy with me.,ไม่อย่างงั้นพี่สาวฉันจะไม่พอใจอย่างมาก,FALSE,
2,,แคริสฟอร์ด,"Ah that’s a shame, I hope to see you again someday",นั่นน่าเสียดายมาก หวังว่าเราจะได้เจอกันใหม่นะครับ,FALSE,
,10,ซาร่า,"What is it, little mouse?",นี่มันอะไรกัน หนูหรอ,FALSE,
,,ซาร่า,Are you a prisoner too?,นี่เจ้าก็เป็นนักโทษในนี้เหมือนกันหรอ,FALSE,
,,เบคกี้,Is it ever this cold,มันก็หนาวแบบนี้อยู่ตลอดนะ,FALSE,
,,เบคกี้,where you come from?,เธอไปอยู่ที่ไหนมา,FALSE,
,,ซาร่า,It was nothing like this at all.,ไม่ใช่ที่แบบนี้แน่นอน,FALSE,
,,มาเรีย,"Tell us about it, Sara. ",เล่าเรื่องนั้นหน่อยสิซาร่า,FALSE,
,,เบคกี้,Tell us again about India.,เล่าเรื่องอินเดียให้เราฟังอีกรอบนะ,FALSE,
,,โอลิเวีย,"India. Tell us, tell us.",อินเดีย เล่าหน่อย ๆ,FALSE,
,,ซาร่า,Well the air is so hot there,ได้สิ ที่นั่นอากาศร้อนมาก,FALSE,
,,ซาร่า,you can almost taste it.,จนแทบจะลิ้มรสได้เลยแหละ,FALSE,
,,เบคกี้, bet it tastes like coconuts.,พนันเลยว่ามันรสชาติเหมือนมะพร้าว,FALSE,
,,ซาร่า,"It's more like spices, really.",จริง ๆ มันค่อนข้างเผ็ดนะ,FALSE,
,,ซาร่า,Curry and saffron.,แกงและเครื่องเทศ,FALSE,
,,เบคกี้,What else?,อะไรอีก,FALSE,
,,ซาร่า,Tigers sleep under trees,มีเสือนอนอยู่ใต้ต้นไม้,FALSE,
,,ซาร่า,and elephants cool themselves by the lakes.,และช้างก็ลงทะเลสาบให้ตัวเย็น,FALSE,
,,ซาร่า,"The warm wind blows through the fields,",ลมอุ่นๆพัดผ่านต้นหญ้า,FALSE,
,,ซาร่า,"and the spirits ride it,",มีจิตวิญญานล่องลอยไปกับสายลม,FALSE,
,,ซาร่า,singing as they watch over us.,พวกมันร้องเพลงพลางเฝ้ามองพวกเรา,FALSE,
,,ซาร่า,Their voices echo through the mountains...,เสียงนั้นดังก้องระหว่างหุบเขา,FALSE,
,,ซาร่า,and the skies are all different colors,และท้องฟ้าที่มีหลากสี,FALSE,
,,ซาร่า, just like a rainbow,ราวกับสายรุ้ง,FALSE,
,,มินชิน,Why is there dust all over the place? ,ทำไมที่นี่ถึงมีฝุ่นมากขนาดนี้,FALSE,
,,มินชิน,"Becky, you fool! ",เบคกี้เจ้าโง่,FALSE,
,,มินชิน,Get out of my house!,ออกจากบ้านฉันไป,FALSE,
,,มินชิน,And forget about your pay!,และลืมเรื่องเงินเดือนของเธอได้เลย,FALSE,
,,มินชิน,Ungrateful little brat.,เจ้าเด็กไม่รู้บุญคุณ,FALSE,
,,มินชิน,I won't tolerate any imperfections in this house! ,ฉันจะไม่ทนกับความสกปรกนี่อีกแล้ว,FALSE,
,,มินชิน,"There, just look at my boot!",ดูที่บูทของฉันนั่นสิ,FALSE,
,,มินชิน,It's filthy! ,มันสกปรก ,FALSE,
,,มินชิน,Out! Out!,ออกไปเลยนะ ออกไป,FALSE,
,,มินชิน,And take this ridiculous-looking thing,และเอาพวกของไร้สาระนี่,FALSE,
,,มินชิน,with you!,ออกไปกับเธอซะ,FALSE,
,11,ซาร่า,"There’s someone waiting for you at the door, miss",มีคนมาหาคุณค่ะ เขารออยู่ที่หน้าประตู,FALSE,
,,อมิเลีย,Oh really? Give me a moment to check who it is.,โอ้จริงหรอ เดี๋ยวฉันไปดูเอง,FALSE,
,,แคริสฟอร์ด,"Good morning, Amelia, how are you doing?",อรุณสวัสด์คุณอมิเลีย เป็นยังไงบ้างครับ,FALSE,
,,อมิเลีย,"Good morning Mister Cassisford,",สบายดีค่ะคุณแคริสฟอร์ด แล้วคุณหล่ะคะ?,FALSE,
,,แคริสฟอร์ด,"I’m doing fine, how about you?",ฉันสบายดีค่ะ แล้วคุณหล่ะคะ,FALSE,
,,แคริสฟอร์ด,I’m doing quite well myself. ,ผมเองก็สบายดีครับ,FALSE,
,,แคริสฟอร์ด,Oh I’ve brought you this anemone poppy.,โอ้ใช่ ผมซื้อดอกแอนนีโมนีมาฝากคุณครับ,FALSE,
,,แคริสฟอร์ด,"I’m sure the last lot must have wilted by now, 
",แน่ใจเลยว่าช่อก่อนคงเหี่ยวไปแล้วแน่ๆ,FALSE,
,,แคริสฟอร์ด,so this one’s real special.,เพราะฉะนั้นช่อนี้พิเศษหน่อยนะครับ,FALSE,
,,อมิเลีย,"Oh, that’s very thoughtful of you",คุณนี่ช่างใส่ใจจังเลยนะคะ,FALSE,
,,แคริสฟอร์ด,"Well I couldn’t let this delicate flower go,",ผมคงปล่อยดอกไม้ที่แสนงดงามและอ่อนโยนไปไม่ได้,FALSE,
,,แคริสฟอร์ด,it’s simply too beautiful to miss.,มันสวยเกินกว่าที่จะมองข้ามไปได้,FALSE,
,,แคริสฟอร์ด,"Well, I must get going now. ",เอาหล่ะ ฉันต้องไปแล้ว,FALSE,
,,แคริสฟอร์ด,"I hope to meet again soon, ",หวังว่าเราจะได้พบกันเร็วๆนี้นะครับ,FALSE,
,,แคริสฟอร์ด,my fair maiden,คุณคนสวยของผม,FALSE,
,,ซาร่า,"Well, Ms. Amelia, ",คุณอมิเลียคะ,FALSE,
,,ซาร่า,shall we head back inside?,เรากลับเข้าไปข้างในกันดีไหมคะ,FALSE,
,,อมิเลีย,"Yes, we shall.",ดีค่ะ เข้าไปข้างในกันเถอะ,FALSE,
,,มินชิน,Where have you been? ,เธอไปอยู่ไหนมา,FALSE,
,,มินชิน,I've been freezing for half an hour.,ฉันทนหนาวมานานแล้วนะ,FALSE,
,,มินชิน,Hurry up and light a fire. ,เร็วเข้า รีบจุดไฟซะสิ,FALSE,
,,มินชิน,And don't touch anything else with your dirty hands. ,และอย่าจับอะไรด้วยมือสกปรกนั่น,FALSE,
,,มินชิน,"This is no longer your room, ",นี่ไม่ใช่ห้องของเธออีกต่อไป,FALSE,
,,มินชิน,and I won't have you messing it up.,และฉันจะไม่ให้เธอทำมันพัง,FALSE,
,,มินชิน,What is that awful smell? ,นั่นกลิ่นอะไรหน่ะ?,FALSE,
,,มินชิน,When did you last have a bath?,เธออาบน้ำครั้งล่าสุดเมื่อไหร่?,FALSE,
,,ซาร่า,What are you doing? ,คุณทำอะไรอยู่น่ะ,FALSE,
,,ซาร่า,I don't believe this! ,ฉันไม่อยากจะเชื่อเลย!,FALSE,
,,ซาร่า,tous tes cheveux doivent tomber,ผมของคุณจะต้องร่วงหมดหัว,FALSE,
,,มินชิน,What did you just do?,เมื่อกี้คุณทำอะไรหน่ะ,FALSE,
,,ซาร่า,Just a little curse I learned from a witch in India.,ก็แค่คำสาปที่หนูเรียนมาจากแม่มดในอินเดีย,FALSE,
,,สีดา,Mischief is medicine when it harms no one.,การหยอกล้อเมื่อไม่ได้ส่งผลร้ายก็เปรียบเสมือนยา,FALSE,
,,อมิเลีย,Curse?,คำสาป?,FALSE,
,,มินชิน,What kind of curse?,สำสาปแบบไหนงั้นหรอ?,FALSE,
,,ซาร่า,You'll see.,เดี๋ยวคุณก็รู้ค่ะ,FALSE,
,,ซาร่า,But I wouldn't brush my hair as much,แต่หนูจะไม่หวีผมบ่อย,FALSE,
,,ซาร่า,if I were you.,ถ้าหนูเป็นคุณนะคะ,FALSE,
,12,ซาร่า,It's all right.,ไม่เป็นไรนะ,FALSE,
,,ซาร่า,I saved it especially for you.,ฉันเก็บมันไว้เพื่อเธอโดยเฉพาะ,FALSE,
,,ซาร่า,Go on. Take it.,มาเอาสิ,FALSE,
,,เออร์มา,Why don't you like me anymore?,ทำไมเธอถึงไม่ชอบฉันแล้วละ,FALSE,
,,เออร์มา,Did I do something wrong?,ฉันทำอะไรผิดไปหรอ,FALSE,
,,ซาร่า,"No, of course not. ",ไม่อยู่แล้ว,FALSE,
,,ซาร่า,I didn't think you'd want me for a friend...,ฉันคิดว่าเธอไม่อยากเป็นเพื่อนกับฉันแล้ว,FALSE,
,,ซาร่า,now that things are different.,ตอนนี้ทุกอย่างเปลี่ยนไป,FALSE,
,,เออร์มา,I'm sure you could do fine ,ฉันเชื่อว่าเธอจะอยู่ได้,FALSE,
,,เออร์มา,without me for a friend,ถ้าไม่มีฉันเป็นเพื่อน,FALSE,
,,เออร์มา,but I couldn't get along without you.,แต่ฉันอยู่ไม่ได้ถ้าไม่มีเธอ,FALSE,
,,ซาร่า,I'm sorry. ,ขอโทษนะ,FALSE,
,,ซาร่า,I should've known,ฉันน่าจะรู้,FALSE,
,,ซาร่า,you wouldn't treat me like the others do.,ว่าเธอจะไม่ปฏิบัติกับฉันเหมือนคนอื่น,FALSE,
,,เออร์มา,What’s that sound?,เสียงอะไรหน่ะ,FALSE,
,,ซาร่า,"Here, I’ll teach you a secret code",มานี่ เดี๋ยวฉันจะสอนรหัสลับให้นะ,FALSE,
,,ซาร่า,as proof of our friendship!,เพื่อพิสูจน์มิตรภาพของเรา,FALSE,
,,ซาร่า,One knock means ''I'm here.'',เคาะหนึ่งครั้งคือ ฉันอยู่นี่,FALSE,
,,ซาร่า,Two knocks means ''All is well.'',สองครั้งคือ ทุกอย่างโอเค,FALSE,
,,ซาร่า,Three means ''The coast is clear.,สามครั้งคือพื้นที่ปลอดภัย,FALSE,
,,ซาร่า,And The demon Minchin is asleep.'',และปีศาจมินชินนอนแล้ว,FALSE,
,,เออร์มา,It all sounds so adventurous!,นี่ฟังดูเหมือนการผจญภัยเลย,FALSE,
,,ซาร่า,"Look, Becky. ",ดูสินั่นเบคกี้,FALSE,
,,ซาร่า,We have another visitor.,เรามีสมาชิกเพิ่มแล้วหล่ะ,FALSE,
,,เออร์มา,"Hello, Becky.",สวัสดีเบคกี้,FALSE,
,,เออร์มา,"Oh, Sara, I miss your stories so much.",อ่อใช่ ซาร่าฉันคิดถึงเรื่องเล่าของเธอมาก,FALSE,
,,เออร์มา,Won't you tell us,จะไม่เล่าให้เราฟังหรอ,FALSE,
,,เออร์มา,what happened to Rama and the princess?,เกิดอะไรขึ้นต่อกับพระรามและสีดา,FALSE,
,,เพนนี,"Sorry for the intrusion,",ขอโทษที่ขัดนะ,FALSE,
,,เพนนี,we heard the commotion from downstairs.,แต่พวกเราได้ยินจากชั้นล่าง,FALSE,
,,ลิซซี่,May we listen in as well?,ขอพวกเราฟังด้วยได้มั้ย,FALSE,
,,แองจี้,We had to wait until Minchin started snoring.,พวกเราต้องรอจนหว่ามินชินจะกรน,FALSE,
,,ไอร่า,That’s not my fault. ,นั่นไม่ใช่ความผิดฉันนะ ,FALSE,
,,ไอร่า,Someone left it in the hallway!,บางคนวางไว้ตรงทางเดิน,FALSE,
,,แองจี้,We were so lucky she didn’t wake up,โชคดีนะที่เธอไม่ตื่นหน่ะ,FALSE,
,,ไอร่า,"Yeah. If she did,",ใช่ ถ้าเธอตื่นนะ,FALSE,
,,ไอร่า,we’d be stuck listening to her recite,เราต้องนั่งฟังเธอเทศนา,FALSE,
,,ไอร่า,the Rule of Conduct again.,เรื่องกฎต่างอีกแน่,FALSE,
,,ลาวิเนียร์,"Girls, that’s not what we came here for.",สาว ๆ เราไม่ได้มาเพราะเรื่องนี้นะ,FALSE,
,,แองจี้&ไอร่า,Right.,จริงด้วย,FALSE,
,,ลาวิเนียร์,We just wanted to apologize,พวกเราอยากจะขอโทษ,FALSE,
,,ลาวิเนียร์," for all the mean things we’ve done to you, Sara,",สำหรับเรื่องแย่ๆที่เราทำกับเธอซาร่า,FALSE,
,,ลาวิเนียร์,that was not right.,มันเป็นเรื่องที่ไม่สมควรเลย,FALSE,
,,ลาวิเนียร์,Will you please forgive us?,ให้อภัยพวกเราได้มั้ย,FALSE,
,,ซาร่า,"Of course I will, thank you for telling me.",แน่นอน แล้วก็ขอบคุณนะที่เธอบอกฉัน,FALSE,
,,ซาร่า,"Alright, alright. ",เอาหล่ะ ๆ,FALSE,
,,ซาร่า,"Everyone sit close,",ทุกคน เข้ามานั่งใกล้,FALSE,
,,ซาร่า,I’ll tell the story now.,ฉันจะเล่าเรื่องให้ฟัง,FALSE,
,,ซาร่า,The smoke from Ravana's arrows...,ควันที่มาจากศรของทศกัณฐ์,FALSE,
,,ซาร่า,finally began to lift.,ในที่สุดมันก็เริ่มยกขึ้นได้,FALSE,
,,ซาร่า,Rama was found dead on the ground.,พระรามถูกพบว่าเสียชีวิตอยู่ในป่า,FALSE,
,,ลิซซี่,"Oh, no!",ไม่นะ,FALSE,
,,ซาร่า,But then a wonderful thing happened.,แต่ก็มีเรื่องมหัศจรรย์เกิดขึ้น,FALSE,
,,ซาร่า,The gazelle laid down next to Rama,กวางตัวหนึ่งเข้าไปนั่งข้างๆพระราม,FALSE,
,,ซาร่า,giving him life.,และทำให้เขามีชีวิตอีกครั้ง,FALSE,
,,สีดา,Friendship brings forth light.,มิตรภาพนำมาซึ่งแสงสว่างในชีวิต,FALSE,
,,หมอ,He's suffering from amnesia,ตอนนี้เขากำลังสับสนจากอาการสมองเสื่อม,FALSE,
,,หมอ,one of the rare side effects from the blast.,เป็นอีกหนึ่งผลข้างเคียงจากการถูกระเบิด,FALSE,
,,หมอ,His eyes will heal in time.,ดวงตาของเขาจะได้รับการฟื้นฟูโดยเร็ว,FALSE,
